3666,216,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,24,Carry Over Blocks
3667,147,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,29,Carry Over Blocks
3668,94,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,85.23,Carry Over Blocks
3669,3966,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,18.5,Carry Over Blocks
3670,182,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,30,Carry Over Blocks
3671,817,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,66,Carry Over Blocks
3672,4077,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,112.5,Carry Over Blocks
3673,4341,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,31.5,Carry Over Blocks
3674,3798,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,22.5,Carry Over Blocks
3675,155,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,29.22,Carry Over Blocks
3676,114,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,14.65,Carry Over Blocks
3677,4085,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,15,Carry Over Blocks
3678,4362,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,17.39,Carry Over Blocks
3679,755,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,19,Carry Over Blocks
3680,4338,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,31.5,Carry Over Blocks
3681,163,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,214.6,Carry Over Blocks
3682,234,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,20.5,Carry Over Blocks
3683,167,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,15.27,Carry Over Blocks
3684,66,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,16.5,Carry Over Blocks
3685,19,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,11,Carry Over Blocks
3686,239,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,70.95,Carry Over Blocks
3687,203,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,26.5,Carry Over Blocks
3688,133,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,267.14,Carry Over Blocks
3689,243,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,31.5,Carry Over Blocks
3690,773,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,31.71,Carry Over Blocks
3691,3839,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,29,Carry Over Blocks
3692,208,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,13,Carry Over Blocks
3693,210,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,17.12,Carry Over Blocks
3694,33,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,74.5,Carry Over Blocks
3695,880,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,47,Carry Over Blocks
3696,250,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,85,Carry Over Blocks
3697,141,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,26.04,Carry Over Blocks
3698,4385,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,15,Carry Over Blocks
3699,4389,Charge,Carry Over Balance Due from 2013-2014 Academic year,2014-08-27,66,Carry Over Blocks
3700,4350,Credit,Carry Over Credit from 2013-2014 Academic year,2014-08-27,24,Carry Over Blocks
