2992,216,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,34,Carry Over Blocks
2993,147,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,94,Carry Over Blocks
2994,899,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,44.65,Carry Over Blocks
2995,184,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,62.93,Carry Over Blocks
2996,98,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,22.5,Carry Over Blocks
2997,255,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,25,Carry Over Blocks
2998,102,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,85,Carry Over Blocks
2999,3798,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,28,Carry Over Blocks
3000,3816,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,62,Carry Over Blocks
3001,3818,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,43.87,Carry Over Blocks
3002,155,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,70,Carry Over Blocks
3003,190,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,31.5,Carry Over Blocks
3004,112,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,18,Carry Over Blocks
3005,114,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,48.37,Carry Over Blocks
3006,261,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,30,Carry Over Blocks
3007,4085,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,25.5,Carry Over Blocks
3008,299,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,10.5,Carry Over Blocks
3009,755,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,29.5,Carry Over Blocks
3010,120,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,70.5,Carry Over Blocks
3011,897,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,24.22,Carry Over Blocks
3012,194,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,22.5,Carry Over Blocks
3013,265,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,255.82,Carry Over Blocks
3014,163,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,239.4,Carry Over Blocks
3015,19,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,13,Carry Over Blocks
3016,21,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,52.5,Carry Over Blocks
3017,4092,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,15,Carry Over Blocks
3018,921,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,85.71,Carry Over Blocks
3019,133,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,75.55,Carry Over Blocks
3020,891,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,26,Carry Over Blocks
3021,1437,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,22.28,Carry Over Blocks
3022,210,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,29.8,Carry Over Blocks
3023,284,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,10.5,Carry Over Blocks
3024,247,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,13,Carry Over Blocks
3025,4102,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,73,Carry Over Blocks
3026,82,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,25.5,Carry Over Blocks
3027,3831,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,66.5,Carry Over Blocks
3028,883,Charge,Carry Over Balance Due from 2012-2013 Academic year,2013-09-01,38,Carry Over Blocks
3029,182,Credit,Carry Over Credit from 2012-2013 Academic year,2013-09-01,30,Carry Over Blocks
