900,Spring 2015,3,8,Thursday,First,Homework,Staff,0,0,0,20150108,20150604,1,http://sfschool.org/drupal/node/16,6th Grade,0,0,0
901,Spring 2015,1,8,Thursday,First,Indoor/Outdoor Choice,Staff,0,0,0,20150108,20150604,1,http://sfschool.org/drupal/node/20,Yard/Flex Room,0,0,0
902,Spring 2015,1,8,Thursday,First,Open Library,Solveig,0,0,0,20150108,20150604,1,http://sfschool.org/drupal/node/93,Library,0,0,0
903,Spring 2015,6,8,Thursday,First,MS Athletics,Staff,0,0,0,20150108,20150604,1,http://sfschool.org/drupal/node/92,Community Center/Green Top,0,0,1
904,Spring 2015,4,8,Thursday,Morning,Band,James,0,0,0,20150108,20150521,1,http://sfschool.org/drupal/node/53,Music Room,0,0,1
905,Spring 2015,6,8,Thursday,First,Middle School Music Ensemble,James,0,0,0,20150108,20150521,1,http://sfschool.org/drupal/node/108,Music Room,0,0,0
906,Spring 2015,1,2,Thursday,First,Bricks 4 Kidz,Bricks 4 Kidz,1,18,12,20150108,20150521,1,http://sfschool.org/drupal/node/109,South Class,0,0,0
907,Spring 2015,1,5,Thursday,First,Creative Repurposing,Paige,0,0,0,20150108,20150521,1,http://sfschool.org/drupal/node/119,Art Room,0,0,0
908,Spring 2015,1,5,Thursday,First,Cooking 'Round the World,Michael ,2,36,12,20150108,20150521,1,http://sfschool.org/drupal/node/13,Kitchen,0,0,0
909,Spring 2015,6,8,Thursday,First,Junior Counselor,Staff,0,0,4,20150108,20150521,1,http://sfschool.org/drupal/node/73,Preschool,0,0,1
910,Spring 2015,5,8,Thursday,First,Guitar- Private,Bryan,2.5,45,2,20150108,20150521,1,http://sfschool.org/drupal/node/62,2nd Grade ,0,0,0
911,Spring 2015,5,8,Thursday,Second,Guitar- Group,Bryan,1.5,27,4,20150108,20150521,1,http://sfschool.org/drupal/node/62,2nd Grade ,0,0,0
912,Spring 2015,4,8,Thursday,First,SMART,Staff,0,0,0,20150108,20150604,1,http://sfschool.org/drupal/node/72,Courtyard,0,0,1
913,Spring 2015,1,8,Friday,First,Indoor/Outdoor Choice,Staff,0,0,0,20150109,20150605,1,http://sfschool.org/drupal/node/20,Yard/Flex Room,0,0,0
914,Spring 2015,6,8,Friday,First,Amnesty International,Solveig,0,0,0,20150109,20150605,1,http://sfschool.org/drupal/node/8,6th Grade Room,0,0,1
915,Spring 2015,6,8,Friday,First,MS Athletics,Staff,0,0,0,20150109,20150605,1,http://sfschool.org/drupal/node/55,Community Center,0,0,1
916,Spring 2015,6,8,Friday,First,Junior Counselor,Staff,0,0,2,20150109,20150522,1,http://sfschool.org/drupal/node/73,Preschool,0,0,1
917,Spring 2015,4,8,Friday,First,SMART,Staff,0,0,0,20150109,20150605,1,http://sfschool.org/drupal/node/72,Courtyard,0,0,1
918,Spring 2015,6,8,Friday,First,Guitar- Private,Bryan,2.5,42,2,20150109,20150522,1,http://sfschool.org/drupal/node/25,2nd Grade ,0,0,0
919,Spring 2015,6,8,Friday,Second,Guitar- Group,Bryan,1.5,42,2,20150109,20150522,1,http://sfschool.org/drupal/node/25,2nd Grade ,0,0,0
920,Spring 2015,1,5,Friday,First,Homestyle Cooking,Malcolm,1,16,10,20150109,20150522,1,http://sfschool.org/drupal/node/81,Kitchen,0,0,0
